entity,name,label,dataType,idAttribute,nillable,auto,defaultValue
shipment,sample_id,sample_id,string,FALSE,TRUE,FALSE,
shipment,participant_subject,participant_subject,string,FALSE,TRUE,FALSE,
shipment,type_of_analysis,type_of_analysis,string,FALSE,TRUE,FALSE,
shipment,tissue_type,tissue_type,string,FALSE,TRUE,FALSE,
shipment,sample_type,sample_type,string,FALSE,TRUE,FALSE,
shipment,solve_rd_experiment_id,solve_rd_experiment_id,string,FALSE,TRUE,FALSE,
shipment,batch,batch,string,FALSE,TRUE,FALSE,
shipment,organisation,organisation,string,FALSE,TRUE,FALSE,
shipment,ERN,ERN,string,FALSE,TRUE,FALSE,
shipment,processed,processed,bool,FALSE,TRUE,FALSE,FALSE
shipment,molgenis_id,molgenis_id,string,TRUE,FALSE,TRUE,
experiment,file_path,file_path,string,FALSE,TRUE,FALSE,
experiment,file_name,file_name,string,FALSE,TRUE,FALSE,
experiment,unencrypted_md5_checksum,unencrypted_md5_checksum,string,FALSE,TRUE,FALSE,
experiment,encrypted_md5_checksum,encrypted_md5_checksum,string,FALSE,TRUE,FALSE,
experiment,file_type,file_type,string,FALSE,TRUE,FALSE,
experiment,file_size,file_size,string,FALSE,TRUE,FALSE,
experiment,file_group_id,file_group_id,string,FALSE,TRUE,FALSE,
experiment,batch_id,batch_id,string,FALSE,TRUE,FALSE,
experiment,project_experiment_dataset_id,project_experiment_dataset_id,string,FALSE,TRUE,FALSE,
experiment,sample_id,sample_id,string,FALSE,TRUE,FALSE,
experiment,sample_links,sample_links,string,FALSE,TRUE,FALSE,
experiment,gender,gender,string,FALSE,TRUE,FALSE,
experiment,subject_id,subject_id,string,FALSE,TRUE,FALSE,
experiment,phenotype,phenotype,string,FALSE,TRUE,FALSE,
experiment,subject_links,subject_links,string,FALSE,TRUE,FALSE,
experiment,sequencing_center,sequencing_center,string,FALSE,TRUE,FALSE,
experiment,platform_brand,platform_brand,string,FALSE,TRUE,FALSE,
experiment,platform_model,platform_model,string,FALSE,TRUE,FALSE,
experiment,library_source,library_source,string,FALSE,TRUE,FALSE,
experiment,library_selection,library_selection,string,FALSE,TRUE,FALSE,
experiment,library_strategy,library_strategy,string,FALSE,TRUE,FALSE,
experiment,library_layout,library_layout,string,FALSE,TRUE,FALSE,
experiment,paired_nominal_length,paired_nominal_length,string,FALSE,TRUE,FALSE,
experiment,paired_nominal_sdev,paired_nominal_sdev,string,FALSE,TRUE,FALSE,
experiment,experiment_links,experiment_links,string,FALSE,TRUE,FALSE,
experiment,analysis_center,analysis_center,string,FALSE,TRUE,FALSE,
experiment,analysis_type,analysis_type,string,FALSE,TRUE,FALSE,
experiment,sequencing_type,sequencing_type,string,FALSE,TRUE,FALSE,
experiment,reference_genome,reference_genome,string,FALSE,TRUE,FALSE,
experiment,linked_object,linked_object,string,FALSE,TRUE,FALSE,
experiment,platform,platform,string,FALSE,TRUE,FALSE,
experiment,program,program,string,FALSE,TRUE,FALSE,
experiment,imputation,imputation,string,FALSE,TRUE,FALSE,
experiment,analysis_links,analysis_links,string,FALSE,TRUE,FALSE,
experiment,experiment_type,experiment_type,string,FALSE,TRUE,FALSE,
experiment,tissue_type,tissue_type,string,FALSE,TRUE,FALSE,
experiment,sample_type,sample_type,string,FALSE,TRUE,FALSE,
experiment,sub_project_name,sub_project_name,string,FALSE,TRUE,FALSE,
experiment,project_batch_id,project_batch_id,string,FALSE,TRUE,FALSE,
experiment,file_ega_id,file_ega_id,string,FALSE,TRUE,FALSE,
experiment,run_ega_id,run_ega_id,string,FALSE,TRUE,FALSE,
experiment,experiment_ega_id,experiment_ega_id,string,FALSE,TRUE,FALSE,
experiment,sample_ega_id,sample_ega_id,string,FALSE,TRUE,FALSE,
experiment,processed,processed,bool,FALSE,TRUE,FALSE,FALSE
experiment,molgenis_id,molgenis_id,string,TRUE,FALSE,TRUE,
