entity,name,label,idAttribute,nillable
novelomics_experiment,file_path,file_path,FALSE,TRUE
novelomics_experiment,file_name,file_name,FALSE,TRUE
novelomics_experiment,unencrypted_md5_checksum,unencrypted_md5_checksum,FALSE,TRUE
novelomics_experiment,encrypted_md5_checksum,encrypted_md5_checksum,FALSE,TRUE
novelomics_experiment,file_type,file_type,FALSE,TRUE
novelomics_experiment,file_size,file_size,FALSE,TRUE
novelomics_experiment,file_group_id,file_group_id,FALSE,TRUE
novelomics_experiment,batch_id,batch_id,FALSE,TRUE
novelomics_experiment,project_experiment_dataset_id,project_experiment_dataset_id,FALSE,TRUE
novelomics_experiment,sample_id,sample_id,FALSE,TRUE
novelomics_experiment,sample_links,sample_links,FALSE,TRUE
novelomics_experiment,gender,gender,FALSE,TRUE
novelomics_experiment,subject_id,subject_id,FALSE,TRUE
novelomics_experiment,phenotype,phenotype,FALSE,TRUE
novelomics_experiment,subject_links,subject_links,FALSE,TRUE
novelomics_experiment,sequencing_center,sequencing_center,FALSE,TRUE
novelomics_experiment,platform_brand,platform_brand,FALSE,TRUE
novelomics_experiment,platform_model,platform_model,FALSE,TRUE
novelomics_experiment,library_source,library_source,FALSE,TRUE
novelomics_experiment,library_selection,library_selection,FALSE,TRUE
novelomics_experiment,library_strategy,library_strategy,FALSE,TRUE
novelomics_experiment,library_layout,library_layout,FALSE,TRUE
novelomics_experiment,paired_nominal_length,paired_nominal_length,FALSE,TRUE
novelomics_experiment,paired_nominal_sdev,paired_nominal_sdev,FALSE,TRUE
novelomics_experiment,experiment_links,experiment_links,FALSE,TRUE
novelomics_experiment,analysis_center,analysis_center,FALSE,TRUE
novelomics_experiment,analysis_type,analysis_type,FALSE,TRUE
novelomics_experiment,sequencing_type,sequencing_type,FALSE,TRUE
novelomics_experiment,reference_genome,reference_genome,FALSE,TRUE
novelomics_experiment,linked_object,linked_object,FALSE,TRUE
novelomics_experiment,platform,platform,FALSE,TRUE
novelomics_experiment,program,program,FALSE,TRUE
novelomics_experiment,imputation,imputation,FALSE,TRUE
novelomics_experiment,analysis_links,analysis_links,FALSE,TRUE
novelomics_experiment,experiment_type,experiment_type,FALSE,TRUE
novelomics_experiment,tissue_type,tissue_type,FALSE,TRUE
novelomics_experiment,sample_type,sample_type,FALSE,TRUE
novelomics_experiment,sub_project_name,sub_project_name,FALSE,TRUE
novelomics_experiment,project_batch_id,project_batch_id,FALSE,TRUE
novelomics_experiment,file_ega_id,file_ega_id,FALSE,TRUE
novelomics_experiment,run_ega_id,run_ega_id,FALSE,TRUE
novelomics_experiment,experiment_ega_id,experiment_ega_id,FALSE,TRUE
novelomics_experiment,sample_ega_id,sample_ega_id,FALSE,TRUE
novelomics_experiment,molgenis_id,molgenis_id,TRUE,FALSE
