name,label,codesystem,code,ontologyTermURI,isDuplicate
319719,319719,,319719,,0
MIM_100050,"AARSKOG SYNDROME, AUTOSOMAL DOMINANT","OMIM, phenotype",MIM_100050,http://purl.bioontology.org/ontology/OMIM/100050,0
MIM_100070,"AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1","OMIM, phenotype",MIM_100070,http://purl.bioontology.org/ontology/OMIM/100070,0
MIM_100100,PRUNE BELLY SYNDROME,"OMIM, phenotype",MIM_100100,http://purl.bioontology.org/ontology/OMIM/100100,0
MIM_100200,ABDUCENS PALSY,"OMIM, phenotype",MIM_100200,http://purl.bioontology.org/ontology/OMIM/100200,0
MIM_100300,ADAMS-OLIVER SYNDROME 1,"OMIM, phenotype",MIM_100300,http://purl.bioontology.org/ontology/OMIM/100300,0
MIM_100600,ACANTHOSIS NIGRICANS,"OMIM, phenotype",MIM_100600,http://purl.bioontology.org/ontology/OMIM/100600,0
MIM_100675,ACETAMINOPHEN METABOLISM,"OMIM, phenotype",MIM_100675,http://purl.bioontology.org/ontology/OMIM/100675,0
MIM_100700,ACHARD SYNDROME,"OMIM, phenotype",MIM_100700,http://purl.bioontology.org/ontology/OMIM/100700,0
MIM_100800,ACHONDROPLASIA,"OMIM, phenotype",MIM_100800,http://purl.bioontology.org/ontology/OMIM/100800,0
MIM_100820,ACHOO SYNDROME,"OMIM, phenotype",MIM_100820,http://purl.bioontology.org/ontology/OMIM/100820,0
MIM_101000,"NEUROFIBROMATOSIS, TYPE II","OMIM, phenotype",MIM_101000,http://purl.bioontology.org/ontology/OMIM/101000,0
MIM_101120,ACROCEPHALOPOLYSYNDACTYLY TYPE III,"OMIM, phenotype",MIM_101120,http://purl.bioontology.org/ontology/OMIM/101120,0
MIM_101200,APERT SYNDROME,"OMIM, phenotype",MIM_101200,http://purl.bioontology.org/ontology/OMIM/101200,0
MIM_101400,SAETHRE-CHOTZEN SYNDROME,"OMIM, phenotype",MIM_101400,http://purl.bioontology.org/ontology/OMIM/101400,0
MIM_101600,PFEIFFER SYNDROME,"OMIM, phenotype",MIM_101600,http://purl.bioontology.org/ontology/OMIM/101600,0
MIM_101800,ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE,"OMIM, phenotype",MIM_101800,http://purl.bioontology.org/ontology/OMIM/101800,0
MIM_101805,"ACROFACIAL DYSOSTOSIS, CATANIA TYPE","OMIM, phenotype",MIM_101805,http://purl.bioontology.org/ontology/OMIM/101805,0
MIM_101840,"ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT","OMIM, phenotype",MIM_101840,http://purl.bioontology.org/ontology/OMIM/101840,0
MIM_101850,"PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III","OMIM, phenotype",MIM_101850,http://purl.bioontology.org/ontology/OMIM/101850,0
MIM_101900,ACROKERATOSIS VERRUCIFORMIS,"OMIM, phenotype",MIM_101900,http://purl.bioontology.org/ontology/OMIM/101900,0
MIM_102000,"ACROLEUKOPATHY, SYMMETRIC","OMIM, phenotype",MIM_102000,http://purl.bioontology.org/ontology/OMIM/102000,0
MIM_102100,"ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA","OMIM, phenotype",MIM_102100,http://purl.bioontology.org/ontology/OMIM/102100,0
MIM_102150,ACROMEGALOID FACIAL APPEARANCE SYNDROME,"OMIM, phenotype",MIM_102150,http://purl.bioontology.org/ontology/OMIM/102150,0
MIM_102200,"PITUITARY ADENOMA 1, MULTIPLE TYPES","OMIM, phenotype",MIM_102200,http://purl.bioontology.org/ontology/OMIM/102200,0
MIM_102300,"RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1","OMIM, phenotype",MIM_102300,http://purl.bioontology.org/ontology/OMIM/102300,0
MIM_102350,ACROMIAL DIMPLES,"OMIM, phenotype",MIM_102350,http://purl.bioontology.org/ontology/OMIM/102350,0
MIM_102370,ACROMICRIC DYSPLASIA,"OMIM, phenotype",MIM_102370,http://purl.bioontology.org/ontology/OMIM/102370,0
MIM_102400,ACROOSTEOLYSIS,"OMIM, phenotype",MIM_102400,http://purl.bioontology.org/ontology/OMIM/102400,0
MIM_102500,HAJDU-CHENEY SYNDROME,"OMIM, phenotype",MIM_102500,http://purl.bioontology.org/ontology/OMIM/102500,0
MIM_102510,ACROPECTOROVERTEBRAL DYSPLASIA,"OMIM, phenotype",MIM_102510,http://purl.bioontology.org/ontology/OMIM/102510,0
MIM_102520,ACRORENAL SYNDROME,"OMIM, phenotype",MIM_102520,http://purl.bioontology.org/ontology/OMIM/102520,0
MIM_102530,SPERMATOGENIC FAILURE 6,"OMIM, phenotype",MIM_102530,http://purl.bioontology.org/ontology/OMIM/102530,0
MIM_102590,"ACYLASE, COBALT-ACTIVATED","OMIM, phenotype",MIM_102590,http://purl.bioontology.org/ontology/OMIM/102590,0
MIM_102650,"ADACTYLIA, UNILATERAL","OMIM, phenotype",MIM_102650,http://purl.bioontology.org/ontology/OMIM/102650,0
MIM_102660,ADAMANTINOMA OF LONG BONES,"OMIM, phenotype",MIM_102660,http://purl.bioontology.org/ontology/OMIM/102660,0
